ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,#meta+characteristic,,,,,,,,,,,,
PAK,Punjab including Islamabad (ICT),2018088,Antenatal care provider: Doctor,18.9,1,PK,Pakistan,1991,PK1991DHS,RH_ANCP_W_DOC,83363010,I,440001,1440001,Region,Punjab including Islamabad (ICT),14000,Three years preceding the survey,0,0,RHANCPWDOC,PKDHS1991440001,1990-91,DHS,2064,1129,,
PAK,Punjab including Islamabad (ICT),1285557,Antenatal care provider: Doctor,18.9,1,PK,Pakistan,1991,PK1991DHS,RH_ANCP_W_DOC,83363010,I,440001,1440001,Region,Punjab including Islamabad (ICT),14001,Five years preceding the survey,0,1,RHANCPWDOC,PKDHS1991440001,1990-91,DHS,2441,1355,,
PAK,Sindh,666942,Antenatal care provider: Doctor,43.2,1,PK,Pakistan,1991,PK1991DHS,RH_ANCP_W_DOC,83363010,I,440003,1440003,Region,Sindh,14000,Three years preceding the survey,0,0,RHANCPWDOC,PKDHS1991440003,1990-91,DHS,726,860,,
PAK,Sindh,256178,Antenatal care provider: Doctor,42.6,1,PK,Pakistan,1991,PK1991DHS,RH_ANCP_W_DOC,83363010,I,440003,1440003,Region,Sindh,14001,Five years preceding the survey,0,1,RHANCPWDOC,PKDHS1991440003,1990-91,DHS,894,1066,,
PAK,Khyber Pakhtunkhwa,1506509,Antenatal care provider: Doctor,17.7,1,PK,Pakistan,1991,PK1991DHS,RH_ANCP_W_DOC,83363010,I,440004,1440004,Region,Khyber Pakhtunkhwa,14000,Three years preceding the survey,0,0,RHANCPWDOC,PKDHS1991440004,1990-91,DHS,476,866,,
PAK,Khyber Pakhtunkhwa,1914560,Antenatal care provider: Doctor,16.9,1,PK,Pakistan,1991,PK1991DHS,RH_ANCP_W_DOC,83363010,I,440004,1440004,Region,Khyber Pakhtunkhwa,14001,Five years preceding the survey,0,1,RHANCPWDOC,PKDHS1991440004,1990-91,DHS,567,1043,,
PAK,Balochistan,260088,Antenatal care provider: Doctor,8.8,1,PK,Pakistan,1991,PK1991DHS,RH_ANCP_W_DOC,83363010,I,440005,1440005,Region,Balochistan,14000,Three years preceding the survey,0,0,RHANCPWDOC,PKDHS1991440005,1990-91,DHS,112,439,,
PAK,Balochistan,1396773,Antenatal care provider: Doctor,7.9,1,PK,Pakistan,1991,PK1991DHS,RH_ANCP_W_DOC,83363010,I,440005,1440005,Region,Balochistan,14001,Five years preceding the survey,0,1,RHANCPWDOC,PKDHS1991440005,1990-91,DHS,159,565,,
PAK,Punjab including Islamabad (ICT),2018251,Antenatal care provider: Nurse/midwife,2.7,1,PK,Pakistan,1991,PK1991DHS,RH_ANCP_W_NRS,83363020,I,440001,1440001,Region,Punjab including Islamabad (ICT),14000,Three years preceding the survey,0,0,RHANCPWNRS,PKDHS1991440001,1990-91,DHS,2064,1129,,
